 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 280350 LAGARTO, 280570 PROPRIA, 280740 TOBIAS BARRETO
Sexo: Fem
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;2;5
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;1;-;-;3;2;3;5;13;10;8;19;15;70;149
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;3;5;4;27;43
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;2;-;1;2;4;3;1;6;6;13;38
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;2;-;1;2;4;2;1;4;6;11;33
". 069 Outras doenças cardíacas";-;-;-;-;-;-;1;-;-;-;-;-;-;2;1;1;2;1;6;14
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;1;1;1;3;4;5;3;5;4;22;49
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;2;5
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;-;1;1;-;1;4;1;1;3;3;17;32
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;1;10;15
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;2;5;10
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2;4
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;-;1;-;2;7
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;2;3;12;20
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;4
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;9;14
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2;1;2;1;8
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;2;2;3;6;17
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;3
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;3
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;2;6;11
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2
". 090 Causas obstétricas indiretas";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";6;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
". 093 Feto e recemnasc afet fat mat e compl grav";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
". 097 Rest afec originadas no período perinatal";1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
". 098 Malformações congênitas do sistema nervoso";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 099 Malf congênitas do aparelho circulatório";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 100 Rest de malf cong, deform e anomal Cromoss";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;1;1;-;-;-;-;-;-;-;2;1;2;6;3;10;3;42;71
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10
". 102 Morte sem assistência médica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;1;1;-;-;-;-;-;-;-;2;1;2;6;3;9;2;31;58
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;-;-;1;2;1;1;2;-;1;-;1;1;-;-;-;8;18
". 104 Acidentes de transporte";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;2
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2
". 110 Agressões";-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;3
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;4;6
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;3;5
"Total";9;3;5;3;1;4;6;4;4;13;11;16;22;39;46;48;62;53;247;596
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
