 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 210150 BARAO DE GRAJAU, 210300 CAXIAS, 211220 TIMON
Sexo: Fem
Período:2022
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;1;2;2;1;-;-;-;1;1;3;17;-;28
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;15;-;17
". 062 Epilepsia";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;3
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;1;2;1;1;-;-;-;-;-;2;1;-;8
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;1;1;1;3;3;3;7;6;7;11;10;21;25;26;39;141;-;305
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;3;1;1;7;5;7;15;42;-;81
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;1;1;2;2;-;2;2;5;4;2;5;15;-;41
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;1;1;2;2;-;2;1;5;4;1;5;12;-;36
". 069 Outras doenças cardíacas";-;-;-;1;1;1;-;1;1;1;-;1;2;1;1;3;7;3;23;-;47
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;2;1;-;4;4;3;4;5;7;13;10;14;56;-;123
". 071 Aterosclerose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;1;-;1;-;-;-;1;1;1;-;-;2;3;-;10
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;3;4;-;1;-;2;1;-;3;1;1;1;5;10;7;14;57;-;110
". 073 Influenza (gripe)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
". 074 Pneumonia";-;-;2;3;-;1;-;1;1;-;3;-;-;1;2;5;2;6;42;-;69
". 076 Doenças crônicas das vias aéreas inferiores";-;-;1;-;-;-;-;1;-;-;-;-;1;-;3;4;4;7;11;-;32
"... 076.1 Asma";-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;2;-;6
". 077 Restante  doenças do aparelho respiratório";-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;4;-;7
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;-;-;3;2;4;7;4;6;5;3;14;-;48
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;3
". 079 Peritonite";-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;1;-;4
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;-;1;1;1;5;1;2;3;2;2;-;18
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;-;1;-;-;5
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;2;3;1;2;-;12
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;2;-;2;2;2;3;1;1;9;-;22
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;1;4;-;8
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;1;2;1;1;-;1;-;-;-;1;1;2;-;-;10
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;1;-;-;-;-;1;1;1;5;1;5;-;2;8;-;25
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;3
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;1;-;1;4;-;2;-;2;4;-;14
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3;-;-;3;-;8
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;-;-;-;1;1;2;1;2;-;-;-;-;-;-;-;-;-;-;7
". 088 Gravidez que termina em aborto";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 089 Outras causas obstétricas diretas";-;-;-;-;-;-;1;1;-;2;-;-;-;-;-;-;-;-;-;-;4
". 090 Causas obstétricas indiretas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
". 092 Causas maternas tardias e sequelas";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";15;3;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
". 093 Feto e recemnasc afet fat mat e compl grav";6;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
". 094 Transt relac duração gestação e cresc fetal";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 096 Trans resp e cardiovas espec per perinatal";4;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
". 097 Rest afec originadas no período perinatal";2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1;2;4;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;11
". 099 Malf congênitas do aparelho circulatório";1;-;3;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;7
". 100 Rest de malf cong, deform e anomal Cromoss";-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;1;-;1;-;1;1;-;1;3;3;1;5;2;20;-;39
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;4
". 102 Morte sem assistência médica";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;3;1;10;-;17
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;1;-;1;-;1;1;-;-;2;3;-;2;1;6;-;18
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;2;1;4;2;3;3;9;4;3;3;3;2;-;3;1;1;9;2;55
". 104 Acidentes de transporte";-;-;-;-;2;1;1;1;3;1;2;1;3;2;-;1;1;-;-;-;19
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;5;-;7
". 106 Afogamento e submersões acidentais";-;-;-;1;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;5
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;1;-;1;-;-;1;1;-;-;-;-;-;-;-;-;4
". 110 Agressões";-;-;-;-;-;-;2;1;4;2;-;-;-;-;-;-;-;-;-;-;9
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;4
". 113 Todas as outras causas externas";-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;7
"Total";16;5;18;8;5;7;10;17;26;23;34;37;41;55;70;96;91;114;403;2;1078
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
