 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 210150 BARAO DE GRAJAU, 210300 CAXIAS, 211220 TIMON
Sexo: Fem
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;4
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;3
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;-;4
". 050 Leucemia";-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;2;-;1;-;-;6
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;3
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;1;-;1;1;1;2;5;7;2;5;4;4;-;33
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;3
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;3
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;1;-;1;-;-;1;-;3;3;2;5;12;14;19;16;25;44;-;146
". 055 Diabetes mellitus";-;-;-;-;-;-;-;1;-;3;2;-;4;12;12;18;16;23;39;-;130
". 056 Desnutrição";-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;4;-;7
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;1;-;-;-;-;-;1;1;1;-;2;-;-;2;1;-;9
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;3;-;2;-;7
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;-;2;-;6
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;1;-;-;1;1;-;-;-;1;1;3;2;20;-;30
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;17;-;20
". 062 Epilepsia";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;2;-;3;-;8
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;1;-;3;4;4;9;14;15;21;22;31;48;148;-;320
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;1;1;-;1;3;7;4;5;9;13;46;-;90
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;1;-;2;3;3;3;4;2;7;21;-;46
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;1;-;1;2;3;3;4;2;6;17;-;39
". 069 Outras doenças cardíacas";-;-;-;-;-;-;1;-;1;-;2;1;-;-;1;1;3;4;18;-;32
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;1;2;2;4;8;4;13;11;14;24;57;-;140
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;3;-;5;-;11
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;1;1;-;-;-;-;1;2;2;1;6;4;6;8;8;14;49;-;103
". 073 Influenza (gripe)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 074 Pneumonia";-;-;-;1;-;-;-;-;1;-;2;-;2;3;1;4;4;8;26;-;52
". 075 Out infec agudas das vias aéreas inferiores";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 075.1 Bronquiolite";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;3;2;1;14;-;23
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;-;4
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;2;-;-;4;-;4;1;2;5;8;-;26
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;1;-;-;-;-;-;-;1;2;2;-;1;5;1;4;3;18;-;38
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;3
". 079 Peritonite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;-;-;-;1;-;5
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;3
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;1;-;-;-;-;-;-;-;1;-;-;1;3;1;4;2;16;-;29
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;1;-;3;-;8
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;3;-;6
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;1;2;-;-;-;2;2;1;-;5;-;13
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;3
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;1;2;-;-;-;1;1;1;-;3;-;9
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;3
". 089 Outras causas obstétricas diretas";-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";13;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
". 093 Feto e recemnasc afet fat mat e compl grav";3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
". 094 Transt relac duração gestação e cresc fetal";6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
". 096 Trans resp e cardiovas espec per perinatal";2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
". 097 Rest afec originadas no período perinatal";2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";2;-;2;2;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;9
". 098 Malformações congênitas do sistema nervoso";1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 099 Malf congênitas do aparelho circulatório";1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3
". 100 Rest de malf cong, deform e anomal Cromoss";-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;4
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;1;-;-;2;-;-;1;-;4;-;1;1;2;2;-;-;17;-;31
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;5
". 102 Morte sem assistência médica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;1;-;-;2;-;-;1;-;4;-;1;1;2;2;-;-;9;-;23
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;-;2;5;3;4;1;5;3;4;1;1;3;2;3;1;12;1;51
". 104 Acidentes de transporte";-;-;-;-;-;3;2;1;-;2;3;3;-;-;2;-;1;1;1;-;19
". 105 Quedas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;7
". 106 Afogamento e submersões acidentais";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
". 107 Exposição à fumaça, ao fogo e às chamas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;3
". 110 Agressões";-;-;-;-;-;1;1;-;1;1;-;1;-;1;-;-;2;-;-;1;9
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 113 Todas as outras causas externas";-;-;-;-;1;-;-;2;-;-;-;-;-;-;1;2;-;-;3;-;9
"Total";15;5;10;3;3;9;9;11;10;29;35;33;46;56;92;88;113;145;398;1;1111
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
