 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 230010 ABAIARA, 230020 ACARAU, 230030 ACOPIARA, 230040 AIUABA, 230050 ALCANTARAS, 230060 ALTANEIRA, 230070 ALTO SANTO, 230075 AMONTADA, 230080 ANTONINA DO NORTE, 230090 APUIARES, 230120 ARACOIABA, 230125 ARARENDA, 230130 ARARIPE, 230140 ARATUBA, 230150 ARNEIROZ, 230160 ASSARE, 230170 AURORA, 230180 BAIXIO, 230185 BANABUIU, 230195 BARREIRA, 230200 BARRO, 230205 BARROQUINHA, 230220 BEBERIBE, 230230 BELA CRUZ, 230240 BOA VIAGEM, 230290 CAPISTRANO, 230300 CARIDADE, 230310 CARIRE, 230320 CARIRIACU, 230330 CARIUS, 230340 CARNAUBAL, 230360 CATARINA, 230365 CATUNDA, 230390 CHAVAL, 230393 CHORO, 230395 CHOROZINHO, 230400 COREAU, 230423 CROATA, 230425 CRUZ, 230426 DEPUTADO IRAPUAN PINHEIRO, 230427 ERERE, 230430 FARIAS BRITO, 230445 FORTIM, 230450 FRECHEIRINHA, 230460 GENERAL SAMPAIO, 230465 GRACA, 230470 GRANJA, 230480 GRANJEIRO, 230490 GROAIRAS, 230500 GUARACIABA DO NORTE, 230510 GUARAMIRANGA, 230520 HIDROLANDIA, 230526 IBARETAMA, 230530 IBIAPINA, 230533 IBICUITINGA, 230535 ICAPUI, 230560 INDEPENDENCIA, 230565 IPAPORANGA, 230570 IPAUMIRIM, 230590 IPUEIRAS, 230600 IRACEMA, 230610 IRAUCUBA, 230620 ITAICABA, 230650 ITAPIUNA, 230655 ITAREMA, 230660 ITATIRA, 230670 JAGUARETAMA, 230680 JAGUARIBARA, 230700 JAGUARUANA, 230710 JARDIM, 230720 JATI, 230725 JIJOCA DE JERICOACOARA, 230740 JUCAS, 230750 LAVRAS DA MANGABEIRA, 230763 MADALENA, 230780 MARCO, 230800 MASSAPE, 230810 MAURITI, 230820 MERUOCA, 230830 MILAGRES, 230835 MILHA, 230837 MIRAIMA, 230840 MISSAO VELHA, 230850 MOMBACA, 230860 MONSENHOR TABOSA, 230880 MORAUJO, 230890 MORRINHOS, 230900 MUCAMBO, 230910 MULUNGU, 230920 NOVA OLINDA, 230940 NOVO ORIENTE, 230945 OCARA, 230980 PACOTI, 230990 PACUJA, 231000 PALHANO, 231010 PALMACIA, 231030 PARAMBU, 231040 PARAMOTI, 231060 PENAFORTE, 231080 PEREIRO, 231090 PIQUET CARNEIRO, 231095 PIRES FERREIRA, 231100 PORANGA, 231110 PORTEIRAS, 231120 POTENGI, 231123 POTIRETAMA, 231126 QUITERIANOPOLIS, 231135 QUIXELO, 231170 RERIUTABA, 231190 SABOEIRO, 231195 SALITRE, 231200 SANTANA DO ACARAU, 231210 SANTANA DO CARIRI, 231220 SANTA QUITERIA, 231230 SAO BENEDITO, 231240 SAO GONCALO DO AMARANTE, 231250 SAO JOAO DO JAGUARIBE, 231260 SAO LUIS DO CURU, 231270 SENADOR POMPEU, 231280 SENADOR SA, 231300 SOLONOPOLE, 231320 TAMBORIL, 231325 TARRAFAS, 231335 TEJUCUOCA, 231350 TRAIRI, 231355 TURURU, 231360 UBAJARA, 231370 UMARI, 231375 UMIRIM, 231390 URUOCA, 231410 VICOSA DO CEARA
Sexo: Masc
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;2;8;6;5;8;4;10;10;-;53
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;1;2;4;2;7;6;5;5;7;-;39
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;1;1;3;2;3;6;9;11;34;27;32;44;-;173
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5;-;6
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;4;6;12;28;46;148;-;246
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;2;2;13;-;21
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;1;1;-;2;-;-;2;2;1;5;7;5;6;4;5;4;4;-;49
". 048 Linfoma não-Hodgkin";-;-;-;-;-;1;2;-;-;-;1;1;1;1;4;2;4;2;2;1;3;-;25
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;1;-;1;1;-;-;8
". 050 Leucemia";-;-;-;-;3;2;2;1;5;1;-;1;-;1;2;3;1;5;1;1;15;-;44
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;1;-;-;3;-;1;2;1;11;3;8;4;22;-;56
". 052 Restante de neoplasias malignas";-;-;-;-;1;-;1;4;2;6;3;3;6;13;14;22;22;30;29;29;66;-;251
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";1;-;3;-;-;-;2;1;1;3;2;2;1;2;1;-;1;4;2;6;14;-;46
". 053 Anemias";-;-;2;-;-;-;2;1;1;3;1;2;1;-;1;-;1;3;1;5;13;-;37
". 054 Rest d sangue, org hemat e alg transt imunit";1;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;-;1;1;1;1;-;9
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";1;-;6;-;3;-;1;1;1;2;4;10;13;15;21;24;35;47;54;67;204;-;509
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;1;2;2;5;11;13;13;21;28;42;51;52;151;-;392
". 056 Desnutrição";-;-;1;-;1;-;-;-;-;-;-;2;-;-;2;1;3;1;-;9;28;-;48
". 057 Rest doenças endócr, nutricion e metabólicas";1;-;5;-;2;-;1;1;-;-;2;3;2;2;6;2;4;4;3;6;25;-;69
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;3;7;9;7;14;25;12;15;15;6;16;12;31;-;172
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;2;6;9;6;12;24;10;12;14;6;13;7;11;-;132
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;2;5;8;6;12;22;10;12;14;6;10;6;4;-;117
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;1;1;-;1;2;1;2;3;1;-;3;5;20;-;40
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;1;7;-;6;5;3;4;6;5;5;7;6;11;8;10;4;8;9;25;80;-;210
". 060 Meningite";-;-;1;-;-;-;-;1;-;-;-;-;2;-;2;-;-;-;1;-;-;-;7
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;3;16;51;-;73
". 062 Epilepsia";-;-;-;-;-;-;-;-;2;3;4;6;2;5;1;4;1;-;1;-;1;-;30
". 063 Restante das doenças do sistema nervoso";-;1;6;-;6;5;3;3;4;2;1;1;2;6;5;5;3;6;4;9;28;-;100
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;6;-;1;4;1;4;15;15;18;39;48;80;108;148;181;273;320;413;1163;1;2838
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;1;-;-;2;-;6
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;1;3;6;7;9;17;28;34;63;262;-;430
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;1;6;9;17;23;37;54;69;96;123;126;141;307;-;1009
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;5;9;16;23;33;46;64;87;109;115;126;275;-;908
". 069 Outras doenças cardíacas";-;-;6;-;1;3;1;3;6;5;4;11;8;17;15;24;16;27;47;53;195;-;442
". 070 Doenças cerebrovasculares";-;-;-;-;-;1;-;1;4;3;5;9;12;18;28;42;48;87;98;137;369;1;863
". 071 Aterosclerose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;5;-;9
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;3;-;-;1;2;2;3;3;4;6;14;18;23;-;79
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;13;-;7;3;3;7;5;7;15;8;19;15;25;38;45;64;89;149;674;-;1186
". 073 Influenza (gripe)";-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;3
". 074 Pneumonia";-;-;11;-;7;2;2;5;3;5;6;4;12;7;11;21;22;30;46;94;447;-;735
". 075 Out infec agudas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;3
"... 075.1 Bronquiolite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;1;-;2;3;9;10;21;20;29;124;-;219
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;1;2;4;7;-;18
". 077 Restante  doenças do aparelho respiratório";-;-;2;-;-;-;1;2;2;2;8;3;7;6;11;7;10;13;23;26;103;-;226
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;1;-;1;-;1;2;3;12;14;36;29;44;53;57;52;55;44;53;95;-;552
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;1;-;-;-;-;1;-;1;1;3;1;2;2;4;6;-;22
". 079 Peritonite";-;-;-;-;-;-;-;1;1;1;1;-;1;-;2;1;1;3;1;1;1;-;15
". 080 Doenças do fígado";-;-;-;-;-;-;-;1;-;10;10;23;22;34;34;38;31;26;15;16;15;-;275
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;8;5;15;13;25;20;23;19;15;4;10;3;-;160
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;3;-;5;8;8;9;10;8;7;4;6;-;68
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;1;-;2;2;8;4;1;6;6;2;3;4;2;6;-;47
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;5;-;8
". 082 Rest doenças do aparelho digestivo";-;-;1;-;1;-;-;-;2;1;3;12;5;8;16;15;18;24;26;32;68;-;232
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;1;-;-;-;1;2;-;-;1;-;4;1;3;3;4;3;23;-;46
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;1;-;-;-;1;1;-;1;-;2;-;3;1;5;2;14;-;31
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;2;-;2;5;2;3;-;7;8;11;9;10;16;23;22;96;-;216
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;1;1;1;1;-;-;1;-;2;2;4;1;-;4;-;18
". 086 Insuficiência renal";-;-;-;-;-;1;-;1;3;-;1;-;5;5;9;7;4;12;14;15;57;-;134
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;1;-;-;1;1;1;-;2;2;2;-;4;-;8;7;35;-;64
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";125;36;14;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;176
". 093 Feto e recemnasc afet fat mat e compl grav";19;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
". 094 Transt relac duração gestação e cresc fetal";18;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
". 096 Trans resp e cardiovas espec per perinatal";63;15;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;86
". 097 Rest afec originadas no período perinatal";25;15;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";22;3;30;-;5;3;-;2;-;1;-;-;-;-;-;-;-;-;-;-;1;-;67
". 098 Malformações congênitas do sistema nervoso";5;1;3;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
". 099 Malf congênitas do aparelho circulatório";5;2;20;-;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;33
". 100 Rest de malf cong, deform e anomal Cromoss";12;-;7;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;23
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";2;1;2;-;-;-;1;8;7;7;5;18;16;24;25;26;26;36;30;43;181;-;458
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;22;-;24
". 102 Morte sem assistência médica";-;-;-;-;-;-;-;-;-;-;2;2;2;1;2;1;2;1;1;2;14;-;30
". 103 Rest sint, sin e ach anorm clín e laborat";2;1;2;-;-;-;1;8;7;7;3;16;14;23;23;25;23;35;28;41;145;-;404
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";1;-;2;-;12;12;13;223;334;303;245;192;189;122;101;85;83;70;42;31;65;2;2127
". 104 Acidentes de transporte";-;-;-;-;3;2;3;70;107;92;84;66;67;53;38;30;31;32;19;15;20;-;732
". 105 Quedas";-;-;-;-;-;-;-;-;1;5;3;2;5;3;2;3;6;6;4;2;22;-;64
". 106 Afogamento e submersões acidentais";-;-;-;-;6;5;3;13;4;7;3;6;10;5;8;4;2;-;2;2;2;-;82
". 107 Exposição à fumaça, ao fogo e às chamas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;-;2;18;16;23;26;16;26;10;14;13;13;10;5;4;6;-;202
". 110 Agressões";-;-;-;-;-;3;5;115;188;162;113;92;66;41;29;24;18;13;7;5;5;1;887
". 111 Eventos(fatos) cuja intenção é indeterminada";1;-;-;-;-;1;-;3;3;4;8;3;13;3;6;10;7;5;3;1;3;1;75
". 112 Intervenções legais e operações de guerra";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 113 Todas as outras causas externas";-;-;2;-;3;1;-;4;15;10;8;7;2;6;4;1;6;4;1;2;6;-;82
"Total";153;42;100;1;43;34;30;269;400;385;349;354;375;411;462;537;591;781;832;1048;3196;3;10396
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
