 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 320210 ECOPORANGA, 320270 ITAGUACU, 320290 ITARANA, 320330 MANTENOPOLIS
Sexo: Masc
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;-;7;11
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;6;9
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;1;-;-;2;2;-;-;1;-;-;-;-;6
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;1;-;-;2;2;-;-;1;-;-;-;-;6
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;1;-;-;2;2;-;-;1;-;-;-;-;6
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;7;10
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;6;7
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;3
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;1;-;3;7;3;7;10;6;9;10;29;85
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;1;2;2;1;3;3;8;20
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;1;4;1;2;3;3;5;2;6;27
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;1;4;1;2;3;3;5;2;6;27
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;1;-;-;1;1;1;2;-;-;3;3;12
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;2;1;-;2;3;2;1;1;9;21
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;3;5
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;1;-;-;-;-;-;-;-;1;-;2;-;1;1;1;17;24
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;10;13
". 076 Doenças crônicas das vias aéreas inferiores";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;6;9
"... 076.1 Asma";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;3
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;-;1;2;1;2;3;4;1;2;5;21
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;1;1;1;2;2;3;1;-;1;12
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;1;4
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;1;-;-;6
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;2;4;9
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;1;-;8;12
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;4
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;5;7
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 096 Trans resp e cardiovas espec per perinatal";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 097 Rest afec originadas no período perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 100 Rest de malf cong, deform e anomal Cromoss";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;1;4
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;1;4
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;-;2;6;2;3;7;5;2;4;5;3;2;2;2;2;47
". 104 Acidentes de transporte";-;-;-;-;2;2;-;-;3;1;1;2;1;1;1;2;-;-;16
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;4
". 106 Afogamento e submersões acidentais";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
". 108 Envenen, intoxic por ou expos a subst nociv";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;3;-;-;-;1;-;-;1;1;-;-;-;-;6
". 110 Agressões";-;-;-;-;-;1;1;3;3;-;1;-;1;1;1;-;-;-;12
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;1;4
"Total";3;1;2;1;2;6;4;4;7;15;20;18;25;28;31;35;29;111;342
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
