 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 290035 ADUSTINA, 290040 AGUA FRIA, 290050 ERICO CARDOSO, 290115 AMERICA DOURADA, 290120 ANAGE, 290130 ANDARAI, 290135 ANDORINHA, 290140 ANGICAL, 290150 ANGUERA, 290160 ANTAS, 290170 ANTONIO CARDOSO, 290180 ANTONIO GONCALVES, 290200 ARACATU, 290210 ARACI, 290250 BAIANOPOLIS, 290260 BAIXA GRANDE, 290265 BANZAE, 290280 BARRA DA ESTIVA, 290300 BARRA DO MENDES, 290323 BARRO ALTO, 290327 BARROCAS, 290350 BELO CAMPO, 290360 BIRITINGA, 290370 BOA NOVA, 290380 BOA VISTA DO TUPIM, 290395 BOM JESUS DA SERRA, 290405 BONITO, 290420 BOTUPORA, 290430 BREJOES, 290440 BREJOLANDIA, 290480 CAATIBA, 290485 CABACEIRAS DO PARAGUACU, 290510 CAEM, 290515 CAETANOS, 290530 CAFARNAUM, 290550 CALDEIRAO GRANDE, 290590 CAMPO ALEGRE DE LOURDES, 290610 CANAPOLIS, 290620 CANARANA, 290640 CANDEAL, 290660 CANDIBA, 290680 CANSANCAO, 290682 CANUDOS, 290685 CAPELA DO ALTO ALEGRE, 290689 CARAIBAS, 290710 CARINHANHA, 290740 CATOLANDIA, 290760 CENTRAL, 290870 CONDEUBA, 290880 CONTENDAS DO SINCORA, 290890 CORACAO DE MARIA, 290900 CORDEIROS, 290920 CORONEL JOAO SA, 290930 CORRENTINA, 290940 COTEGIPE, 290950 CRAVOLANDIA, 290960 CRISOPOLIS, 290970 CRISTOPOLIS, 290990 CURACA, 291000 DARIO MEIRA, 291010 DOM BASILIO, 291030 ELISIO MEDRADO, 291070 EUCLIDES DA CUNHA, 291075 FATIMA, 291085 FILADELFIA, 291125 GAVIAO, 291130 GENTIO DO OURO, 291140 GLORIA, 291165 GUAJERU, 291185 HELIOPOLIS, 291200 IBIASSUCE, 291220 IBICOARA, 291240 IBIPEBA, 291260 IBIQUERA, 291310 IBITITA, 291330 ICHU, 291340 IGAPORA, 291370 INHAMBUPE, 291380 IPECAETA, 291420 IRAJUBA, 291430 IRAMAIA, 291440 IRAQUARA, 291450 IRARA, 291500 ITAETE, 291535 ITAGUACU DA BAHIA, 291650 ITAPICURU, 291670 ITAQUARA, 291700 ITIUBA, 291720 ITUACU, 291733 IUIU, 291735 JABORANDI, 291740 JACARACI, 291770 JAGUARARI, 291810 JEREMOABO, 291830 JITAUNA, 291850 JUSSARA, 291860 JUSSIAPE, 291870 LAFAIETE COUTINHO, 291875 LAGOA REAL, 291900 LAJEDINHO, 291905 LAJEDO DO TABOCAL, 291910 LAMARAO, 291930 LENCOIS, 291940 LICINIO DE ALMEIDA, 291950 LIVRAMENTO DE NOSSA SENHORA, 291960 MACAJUBA, 291995 MAETINGA, 292000 MAIQUINIQUE, 292010 MAIRI, 292020 MALHADA, 292030 MALHADA DE PEDRAS, 292040 MANOEL VITORINO, 292080 MARCIONILIO SOUZA, 292105 MATINA, 292130 MILAGRES, 292140 MIRANGABA, 292145 MIRANTE, 292150 MONTE SANTO, 292170 MORRO DO CHAPEU, 292180 MORTUGABA, 292190 MUCUGE, 292205 MULUNGU DO MORRO, 292210 MUNDO NOVO, 292225 MUQUEM DE SAO FRANCISCO, 292265 NORDESTINA, 292270 NOVA CANAA, 292273 NOVA FATIMA, 292280 NOVA ITARANA, 292285 NOVA REDENCAO, 292290 NOVA SOURE, 292305 NOVO TRIUNFO, 292335 OUROLANDIA, 292340 PALMAS DE MONTE ALTO, 292350 PALMEIRAS, 292360 PARAMIRIM, 292370 PARATINGA, 292380 PARIPIRANGA, 292405 PE DE SERRA, 292420 PEDRO ALEXANDRE, 292450 PINDAI, 292465 PINTADAS, 292470 PIRIPA, 292490 PLANALTINO, 292500 PLANALTO, 292525 PONTO NOVO, 292540 POTIRAGUA, 292560 PRESIDENTE DUTRA, 292570 PRESIDENTE JANIO QUADROS, 292580 QUEIMADAS, 292590 QUIJINGUE, 292593 QUIXABEIRA, 292595 RAFAEL JAMBEIRO, 292610 RETIROLANDIA, 292620 RIACHAO DAS NEVES, 292640 RIACHO DE SANTANA, 292650 RIBEIRA DO AMPARO, 292665 RIBEIRAO DO LARGO, 292670 RIO DE CONTAS, 292680 RIO DO ANTONIO, 292750 SANTA BARBARA, 292760 SANTA BRIGIDA, 292820 SANTANA, 292830 SANTANOPOLIS, 292850 SANTA TERESINHA, 292890 SAO DESIDERIO, 292895 SAO DOMINGOS, 292925 SAO GABRIEL, 292937 SAO JOSE DO JACUIPE, 292970 SATIRO DIAS, 292980 SAUDE, 292990 SEABRA, 293000 SEBASTIAO LARANJEIRAS, 293015 SERRA DO RAMALHO, 293020 SENTO SE, 293030 SERRA DOURADA, 293040 SERRA PRETA, 293060 SERROLANDIA, 293075 SITIO DO MATO, 293076 SITIO DO QUINTO, 293080 SOUTO SOARES, 293090 TABOCAS DO BREJO VELHO, 293100 TANHACU, 293105 TANQUE NOVO, 293110 TANQUINHO, 293150 TEOFILANDIA, 293180 TREMEDAL, 293190 TUCANO, 293200 UAUA, 293210 UBAIRA, 293240 UIBAI, 293245 UMBURANAS, 293260 URANDI, 293305 VARZEA DA ROCA, 293310 VARZEA DO POCO, 293315 VARZEA NOVA, 293340 WAGNER, 293345 WANDERLEY
Sexo: Masc
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;1;5;14;17;26;31;30;33;23;13;13;9;14;-;229
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;5;14;17;25;31;28;28;18;10;9;6;7;-;198
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2;2;4;2;5;-;17
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;1;-;7;2;3;7;6;4;10;6;5;8;8;11;8;11;23;22;99;-;241
". 060 Meningite";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;9;13;73;-;101
". 062 Epilepsia";-;-;-;-;1;1;-;1;3;2;7;2;4;4;3;3;2;2;5;1;1;-;42
". 063 Restante das doenças do sistema nervoso";-;-;1;-;6;1;3;6;3;2;2;3;1;4;5;8;3;6;9;8;25;-;96
"065 DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;3;-;3;2;9;14;23;46;62;75;132;180;232;275;377;407;1223;-;3063
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;3;-;1;2;-;10
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;2;2;5;6;11;27;22;38;36;80;91;338;-;658
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;3;5;17;24;23;46;72;91;96;121;120;249;-;867
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;3;5;16;20;22;45;67;80;92;112;109;234;-;805
". 069 Outras doenças cardíacas";-;-;-;-;3;-;1;1;4;4;9;12;13;19;18;26;39;39;56;62;234;-;540
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;2;1;5;4;6;11;18;20;33;54;60;94;111;122;358;-;899
". 071 Aterosclerose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;1;1;1;-;2;7;4;4;6;9;11;41;-;87
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;1;7;-;7;2;4;1;5;4;8;9;17;21;30;41;38;57;95;104;426;-;877
". 073 Influenza (gripe)";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
". 074 Pneumonia";-;1;5;-;3;-;3;1;2;3;3;1;6;8;10;15;11;14;30;40;168;-;324
". 075 Out infec agudas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;1;1;1;1;2;1;4;1;5;-;3;-;20
"... 075.1 Bronquiolite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;1;-;1;-;6
". 076 Doenças crônicas das vias aéreas inferiores";-;-;1;-;-;-;-;-;1;-;1;2;-;3;7;12;14;29;38;41;163;-;312
"... 076.1 Asma";-;-;1;-;-;-;-;-;1;-;1;1;-;1;1;1;-;3;1;3;10;-;24
". 077 Restante  doenças do aparelho respiratório";-;-;1;-;4;1;1;-;2;1;3;5;10;9;11;13;9;13;22;23;91;-;219
"078-082 DOENÇAS DO APARELHO DIGESTIVO";1;-;2;-;1;-;3;2;7;10;28;41;32;52;57;70;49;48;61;57;96;-;617
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;1;1;1;1;-;1;2;-;1;2;4;2;8;-;24
". 079 Peritonite";-;-;1;-;-;-;-;-;-;-;-;-;1;4;2;2;-;-;3;1;-;-;14
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;4;6;22;30;24;36;39;43;31;32;24;21;20;-;332
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;3;4;17;23;18;21;19;21;17;19;10;8;9;-;189
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;1;4;3;-;10;7;13;9;8;5;6;3;-;69
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;1;1;1;4;6;5;13;9;5;5;9;7;8;-;74
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;3;2;-;8
". 082 Rest doenças do aparelho digestivo";1;-;1;-;1;-;3;2;2;3;5;10;7;10;14;25;17;14;28;30;66;-;239
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;1;1;1;4;4;2;5;3;6;18;-;45
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;1;1;-;-;2;3;-;3;1;2;1;3;3;4;14;-;38
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;2;-;1;-;1;-;4;6;4;2;8;7;11;19;18;21;32;42;113;-;291
". 085 D glomerulares e d renais túbulo-interstic";-;-;1;-;1;-;1;-;-;1;-;-;1;-;2;5;2;3;5;4;5;-;31
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;4;4;3;2;4;6;6;8;11;14;15;20;54;-;151
". 087 Rest doenças do aparelho geniturinário";-;-;1;-;-;-;-;-;-;1;1;-;3;1;3;6;5;4;12;18;54;-;109
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";174;35;9;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;221
". 093 Feto e recemnasc afet fat mat e compl grav";26;4;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;36
". 094 Transt relac duração gestação e cresc fetal";26;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27
". 095 Traumatismo de parto";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";83;10;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;95
". 097 Rest afec originadas no período perinatal";38;20;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";28;7;18;-;3;-;1;-;-;-;1;1;-;2;-;1;2;2;3;-;4;-;73
". 098 Malformações congênitas do sistema nervoso";2;-;3;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;9
". 099 Malf congênitas do aparelho circulatório";7;5;8;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;26
". 100 Rest de malf cong, deform e anomal Cromoss";19;2;7;-;-;-;-;-;-;-;1;1;-;1;-;1;2;1;2;-;1;-;38
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";2;-;7;-;6;1;-;14;17;25;29;61;60;79;116;105;115;128;172;193;682;2;1814
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;57;-;60
". 102 Morte sem assistência médica";1;-;3;-;-;1;-;2;2;5;4;8;10;12;28;17;25;31;41;55;194;-;439
". 103 Rest sint, sin e ach anorm clín e laborat";1;-;4;-;6;-;-;12;15;20;25;53;50;67;88;88;89;97;131;136;431;2;1315
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";1;-;5;-;11;18;19;177;287;265;230;198;189;142;123;92;74;45;50;44;78;2;2050
". 104 Acidentes de transporte";-;-;1;-;1;4;7;44;68;79;62;60;62;46;49;37;19;16;19;13;7;1;595
". 105 Quedas";-;-;-;-;-;-;-;-;2;1;6;4;3;4;3;4;6;6;7;6;27;-;79
". 106 Afogamento e submersões acidentais";-;-;-;-;7;9;8;9;18;13;15;8;14;14;3;6;6;2;2;1;2;-;137
". 107 Exposição à fumaça, ao fogo e às chamas";-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;1;1;-;-;-;-;5
". 108 Envenen, intoxic por ou expos a subst nociv";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;-;-;14;16;15;24;18;17;16;12;10;4;5;9;3;3;-;166
". 110 Agressões";-;-;1;-;1;3;2;78;144;125;93;76;69;43;34;19;19;7;1;8;6;1;730
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;1;-;1;-;2;6;12;9;15;8;10;4;14;11;13;6;6;8;22;-;148
". 112 Intervenções legais e operações de guerra";-;-;-;-;-;-;-;22;18;14;8;6;6;2;1;1;-;-;-;-;-;-;78
". 113 Todas as outras causas externas";1;-;2;-;1;2;-;4;8;9;7;16;8;13;7;4;6;2;6;4;11;-;111
"Total";208;44;71;1;43;32;46;217;357;367;399;460;505;551;717;783;832;993;1263;1379;3819;5;13092
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
