 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 210015 AGUA DOCE DO MARANHAO, 210090 ARAIOSES, 210210 BREJO, 210220 BURITI, 210630 MAGALHAES DE ALMEIDA, 210660 MATOES, 210667 MILAGRES DO MARANHAO, 210780 PARNARAMA, 211010 SANTA QUITERIA DO MARANHAO, 211023 SANTANA DO MARANHAO, 211060 SAO BERNARDO, 211090 SAO FRANCISCO DO MARANHAO, 211250 TUTOIA
Sexo: Fem
Período:2018
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;3
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;4;-;4;2;13
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;3;-;2;1;9
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;3
". 089 Outras causas obstétricas diretas";-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;3
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
". 093 Feto e recemnasc afet fat mat e compl grav";2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
". 096 Trans resp e cardiovas espec per perinatal";5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";6;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
". 098 Malformações congênitas do sistema nervoso";2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 099 Malf congênitas do aparelho circulatório";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 100 Rest de malf cong, deform e anomal Cromoss";3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";1;2;1;-;-;-;-;-;1;-;1;1;3;1;5;6;6;5;19;52
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 102 Morte sem assistência médica";1;1;1;-;-;-;-;-;-;-;1;-;2;1;1;2;2;-;5;17
". 103 Rest sint, sin e ach anorm clín e laborat";-;1;-;-;-;-;-;-;1;-;-;1;1;-;4;4;4;5;13;34
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;1;1;1;2;3;2;1;-;1;-;2;1;1;-;1;3;3;23
". 104 Acidentes de transporte";-;-;1;1;-;-;1;1;1;-;1;-;1;-;-;-;-;1;1;9
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
". 106 Afogamento e submersões acidentais";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;3
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;2
". 110 Agressões";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;2
". 113 Todas as outras causas externas";-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;1;1;5
"Total";14;16;7;4;1;4;4;5;15;8;12;15;32;30;43;48;71;77;206;612
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
