 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 320210 ECOPORANGA, 320270 ITAGUACU, 320290 ITARANA, 320330 MANTENOPOLIS
Sexo: Masc
Período:2018
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;1;-;1;7
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;1;-;1;7
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;3
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;6;9
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5
". 063 Restante das doenças do sistema nervoso";-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;4
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;-;-;3;6;3;5;6;13;18;11;20;85
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;2;-;-;-;4;1;4;2;13
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;2;2;2;2;4;12;2;8;34
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;2;2;2;2;3;9;2;7;29
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;2;1;1;1;-;-;-;1;1;7
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;1;1;-;2;3;4;4;4;6;25
". 071 Aterosclerose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;3;5
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;1;-;-;-;1;1;-;1;5;5;2;15;31
". 074 Pneumonia";-;-;-;-;-;-;1;-;-;-;1;-;-;1;2;3;1;7;16
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;1;8;13
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;-;1;1;-;1;2;1;2;-;3;11
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;2;-;-;5
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;3
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;3
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;5;8
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;4
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 094 Transt relac duração gestação e cresc fetal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 099 Malf congênitas do aparelho circulatório";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;-;4;6;5;6;3;3;5;2;7;2;3;2;1;1;50
". 104 Acidentes de transporte";-;-;-;-;1;2;2;2;1;1;2;1;1;1;2;1;-;-;17
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 106 Afogamento e submersões acidentais";-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;2
". 108 Envenen, intoxic por ou expos a subst nociv";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;2;-;2;1;-;-;-;-;-;1;-;-;-;6
". 110 Agressões";-;-;-;-;1;2;3;2;-;-;1;-;1;1;-;-;-;-;11
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;1;-;-;-;-;1;1;1;3;-;-;1;-;-;8
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;1;4
"Total";2;1;2;1;5;6;7;6;3;9;14;8;17;22;32;39;26;65;265
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
