 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 320210 ECOPORANGA, 320270 ITAGUACU, 320290 ITARANA, 320330 MANTENOPOLIS
Sexo: Fem
Período:2017
"Causa - CID-BR-10";"7 a 27 dias";"1 a 4 anos";"5 a 9 anos";"15 a 19 anos";"20 a 24 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;7;11
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;1;-;1;1;1;2;2;6;11;25
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;1;-;-;1;1;1;2;5;10;21
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;4
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;1;1;1;4;2;1;9;19
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;2;5
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;-;-;-;1;3;3;2;20;29
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;12;18
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;7;10
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;1;-;-;-;1;1;-;-;-;-;-;-;1;1;8;13
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;4
". 080 Doenças do fígado";-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;2;5
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 080.3 Outras doenças do fígado";-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;3
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;4
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;2
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;4
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;3
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;2
". 092 Causas maternas tardias e sequelas";-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;2
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 093 Feto e recemnasc afet fat mat e compl grav";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 094 Transt relac duração gestação e cresc fetal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 097 Rest afec originadas no período perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;1;-;1;-;-;-;-;2;-;-;1;-;1;4;10
". 104 Acidentes de transporte";-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;2
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;5
". 106 Afogamento e submersões acidentais";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 110 Agressões";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 113 Todas as outras causas externas";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"Total";3;1;1;1;2;3;5;2;3;9;9;7;18;18;19;98;199
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
