 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 320210 ECOPORANGA, 320270 ITAGUACU, 320290 ITARANA, 320330 MANTENOPOLIS
Sexo: Masc
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"1 a 4 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;1;-;3;4;6;2;3;5;8;32
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;1;-;3;4;3;2;2;4;7;26
". 069 Outras doenças cardíacas";-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;4;7
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;1;-;-;4;1;-;1;3;15;25
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;3
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;1;-;1;-;2;1;-;-;-;-;-;5;3;6;3;20;42
". 074 Pneumonia";-;-;1;-;1;-;1;1;-;-;-;-;-;3;2;1;1;11;22
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;5;1;9;18
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;2
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;1;-;-;1;3;2;1;1;-;3;2;14
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;2;2;8
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;-;1;5
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;3
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;1;-;-;1;-;2;-;1;-;1;-;6
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2;4
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 096 Trans resp e cardiovas espec per perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 097 Rest afec originadas no período perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 098 Malformações congênitas do sistema nervoso";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 099 Malf congênitas do aparelho circulatório";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;1;8;11;2;3;7;2;5;5;-;3;1;2;4;1;55
". 104 Acidentes de transporte";-;-;-;-;4;5;-;1;4;-;2;3;-;-;1;-;1;-;21
". 105 Quedas";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;3
". 106 Afogamento e submersões acidentais";-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;1;4
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;1;1;1;1;1;-;1;-;-;1;-;1;-;-;8
". 110 Agressões";-;-;-;1;3;4;-;1;1;1;-;1;-;1;-;-;-;-;13
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;1;-;4
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2
"Total";4;1;1;1;10;11;4;6;9;8;9;14;21;26;27;27;37;101;317
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
