 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 280010 AMPARO DE SAO FRANCISCO, 280110 CANHOBA, 280140 CARIRA, 280190 CUMBE, 280220 FEIRA NOVA, 280230 FREI PAULO, 280240 GARARU, 280260 GRACHO CARDOSO, 280310 ITABI, 280370 MACAMBIRA, 280420 MONTE ALEGRE DE SERGIPE, 280445 NOSSA SENHORA APARECIDA, 280470 NOSSA SENHORA DE LOURDES, 280500 PEDRA MOLE, 280520 PINHAO, 280540 POCO REDONDO, 280560 PORTO DA FOLHA, 280700 SAO MIGUEL DO ALEIXO, 280730 TELHA
Sexo: Fem
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 077 Restante  doenças do aparelho respiratório";-;1;-;1;-;-;-;-;-;-;-;-;2;-;1;1;2;-;3;11
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;1;-;-;-;-;-;1;-;1;-;3;1;4;1;3;4;19
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 080 Doenças do fígado";-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;4
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"... 080.3 Outras doenças do fígado";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;2;1;3;3;12
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;4
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;1;4
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;2;2;1;5;13
". 086 Insuficiência renal";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;4
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;2;1;3;9
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 089 Outras causas obstétricas diretas";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
". 093 Feto e recemnasc afet fat mat e compl grav";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 094 Transt relac duração gestação e cresc fetal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 097 Rest afec originadas no período perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
". 098 Malformações congênitas do sistema nervoso";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 099 Malf congênitas do aparelho circulatório";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 100 Rest de malf cong, deform e anomal Cromoss";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;1;-;-;-;-;-;1;-;-;1;3;3;6;5;8;4;10;65;107
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;9
". 102 Morte sem assistência médica";-;-;-;-;-;-;-;-;-;-;1;-;1;-;4;4;3;-;21;34
". 103 Rest sint, sin e ach anorm clín e laborat";-;1;-;-;-;-;-;1;-;-;-;3;2;6;1;4;1;10;35;64
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;-;1;2;2;3;3;-;-;-;2;2;2;-;1;1;7;26
". 104 Acidentes de transporte";-;-;-;-;-;-;1;2;1;-;-;-;1;-;1;-;-;-;1;7
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;5;8
". 106 Afogamento e submersões acidentais";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;3
". 110 Agressões";-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;3
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2
"Total";5;10;1;3;3;5;5;7;12;3;10;14;24;26;25;48;39;55;199;494
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
