 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 320210 ECOPORANGA, 320270 ITAGUACU, 320290 ITARANA, 320330 MANTENOPOLIS
Sexo: Masc
Período:2022
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 079 Peritonite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;1;2;1;-;-;1;-;3;8
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;4
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;4
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;3;2;8
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;2;6
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 094 Transt relac duração gestação e cresc fetal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 099 Malf congênitas do aparelho circulatório";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;1;-;2;5;4;7;3;8;7;3;2;4;2;4;3;5;60
". 104 Acidentes de transporte";-;-;-;-;2;2;2;1;2;1;2;2;1;-;3;1;-;19
". 105 Quedas";-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;1;4
". 106 Afogamento e submersões acidentais";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
". 108 Envenen, intoxic por ou expos a subst nociv";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2
". 109 Lesões autoprovocadas voluntariamente";-;-;-;1;-;-;-;-;1;1;-;-;-;1;-;-;-;4
". 110 Agressões";-;-;-;1;3;2;5;2;1;3;-;-;1;-;-;-;-;18
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;-;-;-;1;1;1;-;-;-;1;2;-;6
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4;5
"Total";2;2;1;4;5;6;9;6;11;28;16;14;23;30;22;24;85;288
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
