 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 290100 AMARGOSA, 290290 BARRA DO CHOCA, 290500 CACULE, 290520 CAETITE, 290600 CAMPO FORMOSO, 290670 CANDIDO SALES, 290730 CASTRO ALVES, 290780 CICERO DANTAS, 290790 CIPO, 291040 ENCRUZILHADA, 291110 FORMOSA DO RIO PRETO, 291190 IACU, 291350 IGUAI, 291400 IPIRA, 291510 ITAGI, 291685 ITATIM, 291690 ITIRUCU, 291835 JOAO DOURADO, 291915 LAPAO, 292050 MARACAS, 292120 MIGUEL CALMON, 292310 OLINDINA, 292460 PINDOBACU, 292480 PIRITIBA, 292600 REMANSO, 292630 RIACHAO DO JACUIPE, 292710 RODELAS, 292720 RUY BARBOSA, 292790 SANTA INES, 292800 SANTALUZ, 292840 SANTA RITA DE CASSIA, 292880 SANTO ESTEVAO, 292930 SAO GONCALO DOS CAMPOS, 293130 TAPIRAMUTA, 293280 UTINGA, 293300 VALENTE
Sexo: Fem
Período:2018
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
". 052 Restante de neoplasias malignas";-;-;-;-;-;1;-;-;-;-;-;1;-;3;4;7;9;10;12;14;24;-;85
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;1;-;-;-;2;-;1;1;-;-;-;2;-;-;-;1;1;-;8;-;17
". 053 Anemias";-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;1;-;-;7;-;11
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;1;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;1;-;1;-;6
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;2;-;1;-;1;-;-;1;1;4;2;10;12;8;15;21;17;37;115;-;247
". 055 Diabetes mellitus";-;-;-;-;-;-;1;-;-;1;1;3;1;7;10;7;12;19;17;33;91;-;203
". 056 Desnutrição";-;-;1;-;1;-;-;-;-;-;-;1;1;1;-;-;1;-;-;3;14;-;23
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;1;-;-;-;-;-;-;-;-;-;-;2;2;1;2;2;-;1;10;-;21
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;1;-;2;-;2;-;-;3;2;3;2;1;1;2;-;19
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;2;-;2;-;-;3;2;3;-;1;-;2;-;15
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;2;2;-;-;-;-;-;8
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;1;-;-;4
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;1;-;-;-;-;-;1;-;-;-;1;4;2;-;1;1;3;-;33;-;47
". 060 Meningite";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;29;-;32
". 062 Epilepsia";-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;-;-;-;-;4
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;1;-;1;-;4;-;10
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;1;1;-;1;3;1;4;14;11;22;30;29;42;66;81;116;345;1;768
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;2;-;1;-;-;6
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;1;2;-;3;3;3;10;9;12;17;90;-;150
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;1;1;3;3;9;9;12;12;22;26;24;53;-;175
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;1;1;3;3;9;8;11;9;20;23;20;44;-;152
". 069 Outras doenças cardíacas";-;-;-;-;1;1;-;-;1;-;1;3;2;1;6;7;6;12;14;25;77;-;157
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;1;1;-;1;5;5;7;11;5;13;19;26;48;112;1;255
". 071 Aterosclerose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;1;1;2;3;1;10;-;22
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;3;-;1;-;-;1;1;3;4;2;7;4;8;11;9;21;18;29;143;-;265
". 073 Influenza (gripe)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 074 Pneumonia";-;-;3;-;1;-;-;1;-;1;2;1;1;1;4;5;4;7;7;8;76;-;122
". 075 Out infec agudas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;3
"... 075.1 Bronquiolite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;5;2;9;6;10;42;-;78
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;4;-;6
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;1;2;1;1;6;1;3;1;3;4;5;10;23;-;61
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;2;-;-;1;1;-;-;1;2;7;4;3;8;8;14;15;8;16;40;-;130
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;-;4
". 079 Peritonite";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;3
". 080 Doenças do fígado";-;-;1;-;-;-;-;-;-;-;1;6;3;3;2;4;3;4;2;5;6;-;40
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;-;-;2;3;-;1;1;1;1;-;1;-;-;10
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;1;2;-;1;1;-;1;2;1;1;2;-;12
"... 080.3 Outras doenças do fígado";-;-;1;-;-;-;-;-;-;-;-;2;-;2;-;3;1;1;1;3;4;-;18
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;3;-;5
". 082 Rest doenças do aparelho digestivo";-;-;1;-;-;1;1;-;-;1;-;1;1;-;5;3;9;11;5;10;29;-;78
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;1;1;1;-;-;2;-;-;-;1;-;1;6;-;13
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;-;-;3;-;7
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;1;-;-;1;-;1;2;1;3;2;4;3;4;5;17;-;44
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2
". 086 Insuficiência renal";-;-;-;-;-;-;1;-;-;-;-;1;2;-;2;2;3;3;2;2;7;-;25
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;2;3;9;-;17
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;-;-;-;-;-;4;-;-;1;4;2;-;-;-;-;-;-;-;-;-;11
". 088 Gravidez que termina em aborto";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 089 Outras causas obstétricas diretas";-;-;-;-;-;-;-;2;-;-;1;3;2;-;-;-;-;-;-;-;-;-;8
". 090 Causas obstétricas indiretas";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";52;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58
". 093 Feto e recemnasc afet fat mat e compl grav";9;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
". 094 Transt relac duração gestação e cresc fetal";16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
". 096 Trans resp e cardiovas espec per perinatal";13;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
". 097 Rest afec originadas no período perinatal";14;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";14;2;11;-;4;1;-;-;-;-;1;-;2;-;-;-;1;-;-;-;-;-;36
". 098 Malformações congênitas do sistema nervoso";2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
". 099 Malf congênitas do aparelho circulatório";2;1;8;-;2;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;15
". 100 Rest de malf cong, deform e anomal Cromoss";10;-;3;-;2;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;17
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;1;1;1;1;-;-;3;2;7;7;8;10;14;26;25;29;36;63;295;-;529
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;16;-;18
". 102 Morte sem assistência médica";-;-;1;-;-;-;-;-;2;1;1;-;1;-;3;8;4;7;11;15;75;-;129
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;1;1;1;-;-;1;1;6;7;7;10;11;18;21;22;25;46;204;-;382
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";1;1;-;-;2;1;-;3;11;8;7;10;7;3;3;1;6;6;7;4;26;-;107
". 104 Acidentes de transporte";1;-;-;-;1;1;-;1;5;2;1;3;1;1;1;1;1;2;-;-;1;-;23
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;8;-;10
". 106 Afogamento e submersões acidentais";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;3
". 107 Exposição à fumaça, ao fogo e às chamas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;3
". 110 Agressões";-;-;-;-;-;-;-;1;1;5;3;4;2;1;-;-;1;1;-;-;-;-;19
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;-;-;1;3;-;-;3;2;-;-;-;1;1;4;4;14;-;33
". 113 Todas as outras causas externas";-;1;-;-;-;-;-;-;1;-;2;-;2;-;2;-;3;1;2;-;1;-;15
"Total";67;6;27;1;12;9;8;13;22;26;36;65;66;81;118;118;165;215;223;319;1138;1;2736
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
