 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 280020 AQUIDABA, 280120 CANINDE DE SAO FRANCISCO, 280160 CEDRO DE SAO JOAO, 280450 NOSSA SENHORA DA GLORIA, 280460 NOSSA SENHORA DAS DORES, 280550 POCO VERDE, 280600 RIBEIROPOLIS, 280710 SIMAO DIAS
Sexo: Fem
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;3
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;4
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;4
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;3
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;2;-;1;2;2;-;2;9
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;1;1;2;1;3;1;1;5;4;1;3;23
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;1;-;-;1;-;-;1;1;1;1;1;-;1;8
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;3
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;1;4
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;3
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 050 Leucemia";-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;1;2;3;-;3;1;5;15
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;1;-;1;5
". 053 Anemias";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;3
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;1;-;-;-;-;-;1;1;1;1;1;1;7;6;3;19;42
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;1;-;1;1;1;1;5;6;3;15;34
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;4
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;4
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;3;6
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;3;6
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;2;2;-;-;-;-;1;1;-;2;10;18
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;7;9
". 062 Epilepsia";-;-;-;-;-;-;-;2;2;-;-;-;-;-;1;-;1;1;7
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;1;-;2;1;4;9;8;18;16;23;52;134
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;-;2;16;23
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;1;-;1;-;3;3;3;2;6;4;16;39
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;1;-;-;-;3;3;3;2;5;4;14;35
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;1;-;2;2;5;4;3;4;21
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;1;-;1;-;2;9;4;14;15;46
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;4
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;1;3;-;-;-;-;1;1;4;4;9;3;7;27;60
". 074 Pneumonia";-;-;-;-;1;2;-;-;-;-;-;-;1;3;2;-;2;18;29
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;1;-;-;-;-;-;-;1;1;5;3;1;4;16
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;1;1;2;-;2;-;4;5;15
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;2;-;1;-;1;2;-;2;2;4;3;17
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
". 080 Doenças do fígado";-;-;-;-;-;-;-;1;-;-;-;-;1;-;2;1;-;1;6
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;3
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
". 081 Colecistite";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;3;1;8
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2;1;5
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;3
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;1;1;-;-;1;2;4;5;8;22
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;5
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;2;1;7;14
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;2
". 089 Outras causas obstétricas diretas";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
". 090 Causas obstétricas indiretas";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";9;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
". 093 Feto e recemnasc afet fat mat e compl grav";3;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
". 094 Transt relac duração gestação e cresc fetal";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 096 Trans resp e cardiovas espec per perinatal";3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
". 097 Rest afec originadas no período perinatal";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";5;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
". 098 Malformações congênitas do sistema nervoso";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 099 Malf congênitas do aparelho circulatório";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 100 Rest de malf cong, deform e anomal Cromoss";2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;1;1;1;1;1;3;2;4;1;7;3;6;7;61;99
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;9
". 102 Morte sem assistência médica";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;3
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;1;1;1;1;1;3;2;3;1;7;3;6;6;51;87
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;1;-;2;4;-;1;2;1;2;-;-;-;2;2;3;7;27
". 104 Acidentes de transporte";-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;4
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;5
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;2
". 110 Agressões";-;-;-;-;1;2;-;-;-;1;2;-;-;-;-;-;-;1;7
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;6
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;3
"Total";14;4;7;1;4;10;2;9;12;15;13;18;24;39;58;55;68;220;573
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
