 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 270070 BATALHA, 270570 OLHO D'AGUA DAS FLORES, 270710 PIRANHAS
Sexo: Masc
Período:2018
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;8;11
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;5;8
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;1;1;1;-;2;-;-;1;-;-;4;10
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;1;1;-;2;-;-;1;-;-;1;6
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;-;4
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 096 Trans resp e cardiovas espec per perinatal";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 097 Rest afec originadas no período perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;4;7
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;3;6
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;1;5;4;5;2;3;3;3;2;-;1;1;-;-;3;33
". 104 Acidentes de transporte";-;-;-;-;1;-;2;2;2;-;2;1;-;1;1;-;-;-;12
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2
". 110 Agressões";-;-;-;1;4;4;3;-;-;3;-;1;-;-;-;-;-;-;16
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"Total";2;3;1;2;5;5;6;5;7;9;9;9;7;11;14;11;12;56;174
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
