 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 320080 BAIXO GUANDU, 320350 MONTANHA
Sexo: Fem
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"15 a 19 anos";"20 a 24 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;1;1;-;1;-;2;6;11
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;1;-;1;-;2;4;8
". 056 Desnutrição";-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;3
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;5
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;5
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;1;1;1;1;3;3;4;4;10;20;48
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;2;1;2;2;7
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;2;-;2;1;6;11
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;2;-;2;1;6;11
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;5
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;1;1;1;3;1;2;1;5;9;24
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;-;-;-;3;3;2;15;23
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;-;-;1;2;1;12;16
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;4
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;4
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;3
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;6;7
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 096 Trans resp e cardiovas espec per perinatal";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 100 Rest de malf cong, deform e anomal Cromoss";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;1;1;2;-;-;1;-;1;-;1;2;-;1;2;12
". 104 Acidentes de transporte";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 105 Quedas";-;-;-;-;-;-;1;-;-;-;-;1;-;-;2;4
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2
". 110 Agressões";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2
". 113 Todas as outras causas externas";-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"Total";3;1;2;2;2;1;5;4;6;7;8;11;12;23;65;152
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
