 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 320080 BAIXO GUANDU, 320350 MONTANHA
Sexo: Masc
Período:2019
"Causa - CID-BR-10";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 062 Epilepsia";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;3
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;-;-;2;2;5;4;4;3;8;8;21;57
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;1;4;8
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;-;4;1;4;2;5;4;5;25
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;-;4;1;4;2;5;4;4;24
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;1;4
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;1;2;10;17
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;3
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;-;-;1;-;2;1;2;3;3;13;25
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;10;14
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;1;3;9
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;1;-;-;1;2;2;1;1;-;1;2;11
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 080 Doenças do fígado";-;-;-;-;-;-;-;1;-;-;1;1;1;-;1;-;-;1;6
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;3
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;-;4
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;8;12
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;8;12
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 099 Malf congênitas do aparelho circulatório";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;1;2;7;-;4;3;3;3;4;2;1;-;-;2;2;34
". 104 Acidentes de transporte";-;-;-;-;-;2;-;3;1;3;1;2;1;-;-;-;1;-;14
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2
". 106 Afogamento e submersões acidentais";-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 110 Agressões";-;-;-;-;2;4;-;1;1;-;1;1;-;-;-;-;1;-;11
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;3
"Total";1;1;1;1;2;8;1;5;4;8;9;17;13;12;14;21;23;66;207
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
