 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 320080 BAIXO GUANDU, 320350 MONTANHA
Sexo: Fem
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"10 a 14 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;1;1;-;-;1;3
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;1;-;-;2;1;1;5
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;1;1;-;-;-;-;-;1;-;3
". 047 Neopl malig mening,encéf e out partes SNC";-;1;-;-;-;-;-;-;-;-;1;1;-;-;3
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 050 Leucemia";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 053 Anemias";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;2;-;2;1;4;6;15
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;2;-;2;1;4;4;13
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;1;-;-;-;1;9;11
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;1;7;8
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;1;-;-;-;-;2;3
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;1;1;2;-;3;3;12;10;29;61
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;1;-;1;-;-;-;-;-;-;2
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;2;3;6;11
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;2;2;5;2;10;21
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;2;1;5;2;7;17
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;1;-;-;-;-;-;4;5
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;1;-;-;1;1;5;4;8;20
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;1;-;1;1;-;1;-;-;3;4;7;18
". 074 Pneumonia";-;-;-;1;-;1;1;-;-;-;-;2;2;4;11
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;1;-;-;1;2;3;7
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;1;-;-;-;1;3;5
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;1;3;4
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;1;-;-;-;-;1;2;7;11
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;1;-;-;-;-;1;2;6;10
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;1;1;1;-;-;-;-;-;-;-;-;-;3
". 088 Gravidez que termina em aborto";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 092 Causas maternas tardias e sequelas";-;-;1;1;-;-;-;-;-;-;-;-;-;-;2
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 093 Feto e recemnasc afet fat mat e compl grav";1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 100 Rest de malf cong, deform e anomal Cromoss";1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;1;-;-;-;-;-;-;2;3
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;2;1;1;-;4;-;-;-;3;1;1;-;13
". 104 Acidentes de transporte";-;-;-;-;-;-;2;-;-;-;1;-;-;-;3
". 106 Afogamento e submersões acidentais";-;-;1;-;1;-;-;-;-;-;-;-;-;-;2
". 109 Lesões autoprovocadas voluntariamente";-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 110 Agressões";-;-;-;1;-;-;-;-;-;-;-;1;1;-;3
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;-;2;-;-;-;2;-;-;-;4
"Total";2;1;4;3;4;5;15;9;14;9;22;27;38;85;238
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
