 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 270070 BATALHA, 270570 OLHO D'AGUA DAS FLORES, 270710 PIRANHAS
Sexo: Masc
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"1 a 4 anos";"5 a 9 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;4
". 047 Neopl malig mening,encéf e out partes SNC";-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;3
". 050 Leucemia";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;1;-;1;-;-;-;1;1;-;-;2;1;2;2;11
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;4
". 053 Anemias";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;3
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;1;-;1;1;1;-;1;-;2;1;2;10
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;2;1;1;8
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;1;-;1;3;3;5;4;3;8;7;9;22;66
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 067 Doenças hipertensivas";-;-;-;-;-;-;1;-;-;-;-;2;-;-;2;2;-;4;11
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;2;2;3;3;2;2;2;4;8;28
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;2;2;3;2;2;2;2;3;8;26
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;4;7
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;-;1;-;1;1;4;2;4;6;19
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;2;2;8;15
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;5;9
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;4
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;2;-;-;5
". 079 Peritonite";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 080 Doenças do fígado";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;2
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
". 094 Transt relac duração gestação e cresc fetal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 097 Rest afec originadas no período perinatal";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;1;1;-;2;1;-;-;2;2;3;4;16
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;1;1;-;2;1;-;-;2;2;3;4;16
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;2;6;8;4;10;4;4;3;4;-;1;2;-;1;1;50
". 104 Acidentes de transporte";-;-;-;2;-;1;1;-;2;2;-;1;-;-;-;-;1;1;11
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;3
". 110 Agressões";-;-;-;-;6;7;3;8;2;2;3;3;-;1;-;-;-;-;35
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"Total";3;1;4;2;7;9;7;14;8;9;14;15;5;9;18;23;21;48;217
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
