 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 310650 BERILO, 310825 BONITO DE MINAS, 311700 COMERCINHO, 311783 CONEGO MARINHO, 311950 CORONEL MURTA, 312650 FRANCISCO BADARO, 312733 GAMELEIRAS, 313065 INDAIABIRA, 313652 JOSE GONCALVES DE MINAS, 313657 JOSENOPOLIS, 313695 JUVENILIA, 314225 MIRAVANIA, 314270 MONTALVANIA, 314537 NOVORIZONTE, 315560 RIO PARDO DE MINAS, 315650 RUBELITA, 315660 RUBIM, 316245 SAO JOAO DAS MISSOES, 317065 VARGEM GRANDE DO RIO PARDO, 317160 VIRGEM DA LAPA
Sexo: Masc
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 055 Diabetes mellitus";-;-;-;-;-;-;1;1;-;1;1;3;1;2;1;4;3;3;5;26
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;2;-;5
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;4;1;-;1;-;1;1;2;-;-;10
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;4;-;-;1;-;1;1;2;-;-;9
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;4;-;-;1;-;1;1;1;-;-;8
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;-;2;1;2;1;1;-;-;1;1;4;13
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;3
". 062 Epilepsia";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;1;1;1;1;1;-;-;1;1;2;9
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;1;-;2;-;-;1;2;2;5;2;5;5;8;17;15;21;40;126
". 067 Doenças hipertensivas";-;-;-;-;1;-;-;-;-;-;-;-;2;1;1;3;3;1;7;19
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;2;-;2;3;2;3;2;4;6;24
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;2;-;2;2;2;3;1;3;6;21
". 069 Outras doenças cardíacas";-;-;1;-;1;-;-;1;1;1;2;1;-;1;2;4;5;6;9;35
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;1;1;1;1;-;-;3;7;5;10;17;46
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;1;-;-;-;1;1;1;1;-;3;3;-;8;8;12;36;75
". 074 Pneumonia";-;-;-;-;-;-;-;-;1;1;-;-;1;2;-;3;5;8;26;47
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;3;4;7;19
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3
". 077 Restante  doenças do aparelho respiratório";-;-;-;1;-;-;-;1;-;-;1;-;1;1;-;1;-;-;3;9
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;1;-;-;1;1;2;3;4;2;6;7;4;3;6;6;4;50
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2
". 079 Peritonite";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;1;3;3;-;3;4;3;1;1;2;1;22
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;2;2;-;2;2;1;1;-;1;-;11
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;1;1;1;-;-;2;1;-;1;1;1;9
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2
". 082 Rest doenças do aparelho digestivo";-;-;-;1;-;-;1;-;1;-;1;2;3;2;1;1;4;4;3;24
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;1;3;7
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;1;5;10;20
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;5;7;15
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;3;5
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
". 093 Feto e recemnasc afet fat mat e compl grav";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 094 Transt relac duração gestação e cresc fetal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 095 Traumatismo de parto";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
". 097 Rest afec originadas no período perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";2;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
". 098 Malformações congênitas do sistema nervoso";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 100 Rest de malf cong, deform e anomal Cromoss";1;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;2;1;1;-;-;2;3;4;5;2;11;3;7;11;10;15;9;41;127
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
". 102 Morte sem assistência médica";-;-;1;1;-;-;-;-;-;-;-;2;1;2;3;2;1;1;14;28
". 103 Rest sint, sin e ach anorm clín e laborat";-;2;-;-;-;-;2;3;4;5;2;9;2;5;8;8;14;8;24;96
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;2;3;3;3;10;7;10;11;8;7;3;6;4;2;1;1;4;85
". 104 Acidentes de transporte";-;-;-;2;2;1;4;2;2;1;3;3;1;2;1;-;-;-;1;25
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;-;1;5
". 106 Afogamento e submersões acidentais";-;-;-;-;-;-;-;2;1;-;1;-;1;-;-;-;-;-;1;6
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;1;-;1;1;4;2;-;3;-;2;1;-;-;-;-;15
". 110 Agressões";-;-;-;-;-;1;5;2;3;8;3;-;-;-;-;-;-;-;-;22
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;1;-;-;-;-;-;1;1;1;1;1;1;1;1;9
". 113 Todas as outras causas externas";-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"Total";10;6;5;6;6;4;15;14;21;34;27;29;36;40;43;60;65;78;183;682
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
