 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 310650 BERILO, 310825 BONITO DE MINAS, 311700 COMERCINHO, 311783 CONEGO MARINHO, 311950 CORONEL MURTA, 312650 FRANCISCO BADARO, 312733 GAMELEIRAS, 313065 INDAIABIRA, 313652 JOSE GONCALVES DE MINAS, 313657 JOSENOPOLIS, 313695 JUVENILIA, 314225 MIRAVANIA, 314270 MONTALVANIA, 314537 NOVORIZONTE, 315560 RIO PARDO DE MINAS, 315650 RUBELITA, 315660 RUBIM, 316245 SAO JOAO DAS MISSOES, 317065 VARGEM GRANDE DO RIO PARDO, 317160 VIRGEM DA LAPA
Sexo: Fem
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 055 Diabetes mellitus";-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;3;3;1;4;14
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;2;5
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;4
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;3
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;3
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;2;-;-;-;1;1;-;-;-;-;-;-;2;-;6;12
". 060 Meningite";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;6;7
". 062 Epilepsia";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 063 Restante das doenças do sistema nervoso";-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;3
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;1;-;-;-;-;-;5;6;9;5;9;14;18;44;111
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;5;4;9;22
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3;3;6;15
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3;3;5;14
". 069 Outras doenças cardíacas";-;-;-;-;-;1;-;-;-;-;-;3;1;3;1;2;1;5;10;27
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;-;-;2;3;5;3;4;5;4;16;42
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;5
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;-;-;1;1;-;-;3;2;5;4;32;48
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;3;1;27;34
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;4;7
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;-;2;1;7
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;1;-;1;1;-;1;1;1;1;1;4;1;7;20
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;1;2;7
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;4
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;3
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;1;-;1;1;-;1;-;-;-;-;2;-;4;10
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;1;5
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;1;1;4;9
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;1;4;8
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2
". 089 Outras causas obstétricas diretas";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
". 093 Feto e recemnasc afet fat mat e compl grav";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 094 Transt relac duração gestação e cresc fetal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 097 Rest afec originadas no período perinatal";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 099 Malf congênitas do aparelho circulatório";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;1;-;-;1;-;1;-;1;3;1;5;4;3;4;15;8;51;98
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
". 102 Morte sem assistência médica";-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;1;4;3;14;28
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;1;-;-;1;-;1;-;1;3;1;3;2;1;3;11;5;33;66
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;2;2;4;-;1;1;1;-;-;-;2;1;-;-;1;2;17
". 104 Acidentes de transporte";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 106 Afogamento e submersões acidentais";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;2;-;-;1;1;-;-;-;-;-;-;-;-;-;4
". 110 Agressões";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;3
". 113 Todas as outras causas externas";-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;3
"Total";7;2;1;2;5;6;3;2;8;4;9;16;15;23;19;32;57;46;184;441
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
