 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 291320 IBOTIRAMA
Sexo: Masc
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;1;5
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;1;2;2;8
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;2;5
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
". 063 Restante das doenças do sistema nervoso";-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;1;2;-;-;-;-;1;-;2;1;2;3;3;4;9;28
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;4
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;5
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;5
". 069 Outras doenças cardíacas";-;-;-;1;2;-;-;-;-;-;-;1;-;1;1;-;1;2;9
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;2;1;8
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;1;-;-;4
". 074 Pneumonia";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;1;2;6
". 080 Doenças do fígado";-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;3
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;2
". 086 Insuficiência renal";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
". 096 Trans resp e cardiovas espec per perinatal";4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
". 097 Rest afec originadas no período perinatal";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 098 Malformações congênitas do sistema nervoso";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;1;-;-;-;1;-;1;-;1;-;2;1;-;1;-;2;10
". 102 Morte sem assistência médica";-;-;1;-;-;-;-;-;-;-;1;-;1;1;-;-;-;1;5
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;1;-;1;5
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;1;8;7;5;6;3;1;1;1;-;1;1;-;-;-;35
". 104 Acidentes de transporte";-;-;-;1;3;1;1;2;2;-;1;-;-;-;-;-;-;-;11
". 105 Quedas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 106 Afogamento e submersões acidentais";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
". 107 Exposição à fumaça, ao fogo e às chamas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 110 Agressões";-;-;-;-;5;5;4;4;1;-;-;1;-;-;1;-;-;-;21
"Total";5;1;2;5;10;8;7;6;5;8;4;7;6;7;8;8;10;17;124
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
