 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220290 CORRENTE, 221120 URUCUI
Sexo: Fem
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 055 Diabetes mellitus";-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;-;4;8
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;2;5
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 062 Epilepsia";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;1;-;-;-;-;1;2;-;1;-;-;3;2;6;21;37
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;6;9
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;4;7
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;2;5
". 069 Outras doenças cardíacas";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;5;7
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;1;1;-;1;-;-;1;1;3;5;13
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;2;1;8;15
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;4;6
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;2;6
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;3
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;1;1;5
". 080 Doenças do fígado";-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;3
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;2
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2;4
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2;4
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 089 Outras causas obstétricas diretas";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
". 093 Feto e recemnasc afet fat mat e compl grav";2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 094 Transt relac duração gestação e cresc fetal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;7
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 102 Morte sem assistência médica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;1;-;-;1;1;1;2;-;-;-;-;1;-;-;-;-;7
". 104 Acidentes de transporte";-;-;1;-;-;1;1;-;1;-;-;-;-;1;-;-;-;-;5
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2
"Total";4;1;2;2;2;1;4;1;3;4;1;3;6;4;11;6;12;52;119
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
