 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220290 CORRENTE, 221120 URUCUI
Sexo: Fem
Período:2022
"Causa - CID-BR-10";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"15 a 19 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;3
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 062 Epilepsia";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;1;-;1;-;1;-;1;1;2;2;1;5;2;3;19;39
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;10;13
". 068 Doenças isquêmicas do coração";-;-;-;1;-;1;-;1;1;1;1;1;3;1;1;1;13
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;1;-;1;1;1;1;1;3;1;-;-;10
". 069 Outras doenças cardíacas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;5;9
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;1;-;-;-;1;5;6;12;25
". 073 Influenza (gripe)";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;6;11
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;1;-;-;-;-;-;4;6;11
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;4
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 089 Outras causas obstétricas diretas";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 093 Feto e recemnasc afet fat mat e compl grav";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
". 099 Malf congênitas do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;1;1;1;-;-;1;1;1;8;14
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
". 102 Morte sem assistência médica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;1;1;1;-;-;1;1;1;3;9
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2
"Total";2;1;1;1;1;2;4;4;5;4;3;6;13;15;20;62;144
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
