 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220290 CORRENTE, 221120 URUCUI
Sexo: Masc
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"5 a 9 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;1;1;1;-;1;-;-;-;-;-;-;4
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;1;1;1;-;1;-;-;-;-;-;-;4
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;1;1;1;-;1;-;-;-;-;-;-;4
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;1;1;1;2;2;1;-;4;6;2;6;2;23;51
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;1;1;-;-;1;1;1;1;2;4;12
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;5;-;6;14
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;4;-;5;12
". 069 Outras doenças cardíacas";-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;4;7
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;1;1;1;-;1;3;1;-;-;8;16
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;1;-;1;-;-;-;1;1;1;1;1;2;6;15
". 074 Pneumonia";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;5;8
". 075 Out infec agudas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;1;5
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;-;-;3;1;-;1;2;1;3;-;11
". 079 Peritonite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;-;3;1;-;1;1;-;-;-;6
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;-;3;1;-;-;1;-;-;-;5
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;4
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;3
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
". 093 Feto e recemnasc afet fat mat e compl grav";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 097 Rest afec originadas no período perinatal";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 099 Malf congênitas do aparelho circulatório";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 100 Rest de malf cong, deform e anomal Cromoss";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;1;-;-;1;-;-;1;1;2;-;-;-;-;-;-;1;7
". 102 Morte sem assistência médica";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;1;-;-;1;-;-;-;1;2;-;-;-;-;-;-;-;5
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;1;-;4;4;3;1;5;3;2;2;2;1;3;1;-;-;32
". 104 Acidentes de transporte";-;-;-;-;2;3;1;-;2;2;1;-;2;-;1;1;-;-;15
". 106 Afogamento e submersões acidentais";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2
". 107 Exposição à fumaça, ao fogo e às chamas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;4
". 110 Agressões";-;-;-;-;1;1;1;1;1;-;-;-;-;-;1;-;-;-;6
". 113 Todas as outras causas externas";-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;4
"Total";3;2;2;1;4;7;7;5;10;9;10;6;12;11;9;15;12;45;170
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
