 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220290 CORRENTE, 221120 URUCUI
Sexo: Masc
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"1 a 4 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;3
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;4
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;4;8
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;4;7
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;4
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;4
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;4
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
". 063 Restante das doenças do sistema nervoso";-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;2;-;1;1;-;4;2;5;3;4;2;5;6;19;54
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;7;10
". 068 Doenças isquêmicas do coração";-;-;-;-;1;-;-;-;-;1;1;3;2;1;2;4;1;5;21
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;1;-;-;-;-;1;1;3;2;1;1;4;1;5;20
". 069 Outras doenças cardíacas";-;-;-;-;1;-;-;1;-;2;-;-;-;-;-;-;2;2;8
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;1;-;-;1;-;1;1;2;-;1;3;5;15
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;1;-;1;1;1;-;2;-;-;3;9
". 074 Pneumonia";-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;3;6
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;1;1;-;2;2;-;2;-;1;1;-;-;10
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;3
". 080 Doenças do fígado";-;-;-;-;-;-;1;1;-;1;-;-;1;-;-;1;-;-;5
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;5
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;4
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
". 096 Trans resp e cardiovas espec per perinatal";4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
". 097 Rest afec originadas no período perinatal";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;3
". 099 Malf congênitas do aparelho circulatório";-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;1;1;1;-;-;1;-;-;-;-;1;5
". 102 Morte sem assistência médica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;1;1;1;-;-;1;-;-;-;-;-;4
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;-;5;6;7;7;3;2;1;1;1;-;-;1;-;3;37
". 104 Acidentes de transporte";-;-;-;-;2;3;3;4;2;-;1;-;1;-;-;-;-;1;17
". 105 Quedas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2
". 106 Afogamento e submersões acidentais";-;-;-;-;2;-;1;1;-;1;-;-;-;-;-;-;-;-;5
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;1;2;-;1;-;-;-;-;-;-;-;-;-;-;4
". 110 Agressões";-;-;-;-;-;1;3;1;-;-;-;-;-;-;-;1;-;1;7
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2
"Total";4;1;1;1;8;7;9;11;7;12;11;8;12;6;7;10;9;40;164
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
