 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 291320 IBOTIRAMA
Sexo: Masc
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;2
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 052 Restante de neoplasias malignas";-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;3
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;1;-;4
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
". 062 Epilepsia";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;-;-;1;-;2;-;4;4;7;3;11;32
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;5;9
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;1;-;1;-;3;1;1;1;2;10
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;1;-;1;-;3;1;-;1;2;9
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;1;2;8
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;2;5
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;2;-;6;11
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;3;6
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;3
". 077 Restante  doenças do aparelho respiratório";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;1;-;-;-;-;2;2;1;1;2;-;-;1;10
". 079 Peritonite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 080 Doenças do fígado";-;-;-;-;-;1;-;-;-;-;2;2;-;-;2;-;-;-;7
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;3
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2
"... 080.3 Outras doenças do fígado";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;1;4
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;1;4
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
". 094 Transt relac duração gestação e cresc fetal";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 096 Trans resp e cardiovas espec per perinatal";2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 099 Malf congênitas do aparelho circulatório";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;-;1;-;-;2;1;-;1;1;-;-;6
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;-;1;-;-;2;1;-;1;1;-;-;6
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;1;-;3;4;4;4;2;-;4;3;-;1;-;-;1;-;27
". 104 Acidentes de transporte";-;-;-;-;-;-;2;1;-;-;2;1;-;1;-;-;-;-;7
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 106 Afogamento e submersões acidentais";-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;3
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2
". 110 Agressões";-;-;1;-;2;3;2;2;1;-;1;2;-;-;-;-;-;-;14
"Total";4;2;1;2;4;6;4;6;3;4;8;13;4;8;9;13;7;24;122
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
