 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 312560 FELISBURGO, 313580 JEQUITINHONHA, 313930 MANGA
Sexo: Masc
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;-;1;1;-;5;4;4;5;1;8;29
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;2;3;2;5;5;5;1;-;4;3;2;1;-;-;2;35
". 104 Acidentes de transporte";-;-;1;-;-;1;1;1;-;-;-;-;1;1;-;-;-;6
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 106 Afogamento e submersões acidentais";-;-;1;1;-;-;-;-;-;-;1;1;-;-;-;-;-;4
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;1;-;1;1;-;-;1;-;1;-;-;-;-;5
". 110 Agressões";-;-;-;2;-;4;3;3;1;-;1;1;-;-;-;-;1;16
". 113 Todas as outras causas externas";-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;3
"Total";3;1;3;3;3;6;9;9;10;10;24;22;14;24;25;27;75;268
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
