 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 312560 FELISBURGO, 313580 JEQUITINHONHA, 313930 MANGA
Sexo: Fem
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"1 a 4 anos";"10 a 14 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 055 Diabetes mellitus";-;-;-;1;-;-;-;1;-;-;1;2;1;1;3;10
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;3
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;1;-;-;-;1;-;-;-;-;-;2;4
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 062 Epilepsia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;1;-;-;4;3;-;-;5;6;29;48
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;1;-;-;2;1;12;16
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;1;2;-;-;2;-;1;6
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;1;2;-;-;2;-;1;6
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;1;-;-;-;1;3;8;13
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;2;-;-;-;-;2;6;10
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;3
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;-;-;1;1;-;-;14;16
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;1;1;-;-;8;10
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;-;-;1;3;-;-;4;8
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;-;1;2;-;-;2;5
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;3
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;5
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;4
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 096 Trans resp e cardiovas espec per perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 097 Rest afec originadas no período perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 098 Malformações congênitas do sistema nervoso";2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;1;-;-;-;1;-;1;2;-;1;1;11;18
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;1;-;-;-;1;-;1;2;-;1;1;8;15
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;1;-;-;-;-;-;-;1;-;-;-;-;4;6
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 106 Afogamento e submersões acidentais";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"Total";4;1;1;3;1;1;1;4;6;6;11;15;19;9;87;169
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
