 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 312560 FELISBURGO, 313580 JEQUITINHONHA, 313930 MANGA
Sexo: Fem
Período:2022
"Causa - CID-BR-10";"0 a 6 dias";"1 a 4 anos";"15 a 19 anos";"20 a 24 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;1;-;-;-;-;-;-;-;-;2;2;-;5;10
". 085 D glomerulares e d renais túbulo-interstic";-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;2
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;1;1;-;3;5
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;3
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
". 089 Outras causas obstétricas diretas";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 094 Transt relac duração gestação e cresc fetal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 097 Rest afec originadas no período perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;1;-;-;1;1;-;-;-;1;3;12;19
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;1;-;-;1;1;-;-;-;1;3;10;17
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;-;-;1;-;-;-;-;-;1;-;-;2;4
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 106 Afogamento e submersões acidentais";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 110 Agressões";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"Total";2;1;2;1;3;1;1;3;4;14;9;16;14;23;80;174
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
