 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 291320 IBOTIRAMA
Sexo: Masc
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;3
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;2;-;-;2;1;-;-;3;3;4;2;8;25
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;3;6
". 068 Doenças isquêmicas do coração";-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;4;7
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;3;6
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;3
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;2;1;-;-;2;-;1;2;1;9
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;1;6;11
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;5;7
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;3
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;2;1;1;2;1;-;-;-;1;2;10
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 080 Doenças do fígado";-;-;-;-;-;-;-;1;-;1;1;1;-;-;-;-;-;4
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2;4
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;2;6
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;1;4
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 096 Trans resp e cardiovas espec per perinatal";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 097 Rest afec originadas no período perinatal";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 100 Rest de malf cong, deform e anomal Cromoss";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;1;-;-;-;1;-;2;-;-;-;1;1;-;1;7
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;1;-;-;-;1;-;2;-;-;-;1;1;-;1;7
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;-;5;6;7;3;4;5;-;-;1;-;1;-;-;32
". 104 Acidentes de transporte";-;-;-;-;2;-;1;1;1;2;-;-;-;-;-;-;-;7
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 110 Agressões";-;-;-;-;3;5;5;2;3;3;-;-;1;-;-;-;-;22
". 112 Intervenções legais e operações de guerra";-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2
"Total";3;1;1;1;6;8;7;7;11;14;11;5;13;9;17;9;33;156
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
