 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 291320 IBOTIRAMA
Sexo: Masc
Período:2018
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;3
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 063 Restante das doenças do sistema nervoso";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;-;1;1;6;1;4;3;4;8;-;28
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;2;-;5
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;1;5;1;1;1;3;3;-;15
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;1;4;1;1;-;3;3;-;13
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;-;1;-;2;1;1;2;-;7
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;1;-;-;-;2;-;-;-;-;-;-;3;5;-;11
". 074 Pneumonia";-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;3
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;2;-;5
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;3
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;1;1;1;1;-;-;-;1;-;-;5
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 080 Doenças do fígado";-;-;-;-;-;-;-;1;1;1;-;-;-;-;1;-;-;4
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;2
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;3
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;3
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 097 Rest afec originadas no período perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;1;-;-;1;-;-;1;-;2;1;-;3;3;-;12
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 102 Morte sem assistência médica";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;1;-;-;-;-;-;1;-;2;1;-;2;3;-;10
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;2;1;3;7;1;2;2;1;1;1;-;-;-;1;1;23
". 104 Acidentes de transporte";-;-;-;-;-;2;1;-;1;-;-;1;-;-;-;-;-;5
". 106 Afogamento e submersões acidentais";-;-;-;1;-;1;-;2;-;-;1;-;-;-;-;-;-;5
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;3
". 110 Agressões";-;-;2;-;1;4;-;-;1;-;-;-;-;-;-;-;-;8
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2
"Total";1;1;2;3;4;8;3;7;4;6;11;9;9;9;12;23;1;113
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
