 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 312560 FELISBURGO, 313580 JEQUITINHONHA, 313930 MANGA
Sexo: Masc
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;5;10
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 050 Leucemia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 052 Restante de neoplasias malignas";-;-;1;1;-;-;-;-;-;-;-;-;2;2;1;4;11
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;1;-;-;-;-;-;-;2;1;1;1;1;3;10
". 055 Diabetes mellitus";-;-;-;1;-;-;-;-;-;-;2;1;1;1;1;1;8
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;3
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;3
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;3
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;-;2;2;-;-;1;1;-;6
". 060 Meningite";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
". 062 Epilepsia";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;1;-;1;-;1;1;2;6;4;5;4;9;14;48
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;1;1;1;1;2;2;8
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;1;1;2;1;1;1;1;1;3;12
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;1;1;2;1;1;1;1;1;3;12
". 069 Outras doenças cardíacas";-;-;-;-;-;1;-;-;-;-;3;2;1;2;2;5;16
". 070 Doenças cerebrovasculares";-;-;-;1;-;-;-;-;-;-;-;-;1;-;4;2;8
". 071 Aterosclerose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;3
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;1;1;-;2;-;-;2;1;4;1;3;11;26
". 074 Pneumonia";-;-;-;-;-;-;-;1;-;-;1;-;1;-;2;5;10
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;4
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;1;1;-;1;-;-;1;1;2;-;1;4;12
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;2;-;2;-;-;2;-;-;1;2;9
". 080 Doenças do fígado";-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;1;4
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;3
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;1;-;-;2;-;-;1;1;5
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;4
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;1;-;1;-;-;1;-;-;-;1;-;2;6
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;2
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
". 094 Transt relac duração gestação e cresc fetal";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 096 Trans resp e cardiovas espec per perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
". 100 Rest de malf cong, deform e anomal Cromoss";1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;1;-;-;-;-;-;2;1;-;-;3;3;2;1;4;17
". 103 Rest sint, sin e ach anorm clín e laborat";-;1;-;-;-;-;-;2;1;-;-;3;3;2;1;4;17
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;3;2;4;1;4;3;-;2;1;-;1;-;-;1;22
". 104 Acidentes de transporte";-;-;-;-;3;1;1;-;-;-;1;-;-;-;-;-;6
". 106 Afogamento e submersões acidentais";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 109 Lesões autoprovocadas voluntariamente";-;-;1;1;-;-;1;1;-;-;-;-;-;-;-;-;4
". 110 Agressões";-;-;1;1;-;-;2;1;-;-;-;-;1;-;-;-;6
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;1;4
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"Total";5;2;5;6;7;4;8;8;7;13;16;16;22;14;25;60;218
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
