 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 291320 IBOTIRAMA
Sexo: Masc
Período:2022
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 096 Trans resp e cardiovas espec per perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 097 Rest afec originadas no período perinatal";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;-;1;1;-;1;-;-;1;3;3;10
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;-;1;1;-;1;-;-;1;3;3;10
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;1;3;5;1;6;2;2;1;1;1;2;1;1;1;28
". 104 Acidentes de transporte";-;-;-;-;-;-;-;1;1;1;-;1;-;1;-;1;-;6
". 106 Afogamento e submersões acidentais";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2
". 107 Exposição à fumaça, ao fogo e às chamas";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2
". 109 Lesões autoprovocadas voluntariamente";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;2
". 110 Agressões";-;-;-;-;3;3;-;2;1;-;-;-;-;1;1;-;1;12
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 112 Intervenções legais e operações de guerra";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2
"Total";1;1;2;2;4;5;2;8;9;6;3;7;11;9;16;9;31;126
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
