 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 291320 IBOTIRAMA
Sexo: Fem
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"1 a 4 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
". 056 Desnutrição";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;1;-;1;3;2;-;1;2;3;3;5;17;38
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;3;-;-;-;1;1;1;1;6;13
". 068 Doenças isquêmicas do coração";-;-;-;-;1;-;-;-;1;-;-;-;1;1;-;1;5
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;4
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;4;6
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;1;-;1;-;-;1;-;1;3;4;11
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;1;-;1;-;-;1;-;1;4;8
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;3
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;2;5
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2
". 085 D glomerulares e d renais túbulo-interstic";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 093 Feto e recemnasc afet fat mat e compl grav";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;2;4
". 104 Acidentes de transporte";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 110 Agressões";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"Total";2;2;2;2;1;2;1;4;4;4;3;2;8;4;10;27;78
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
